,0
0,BATTERY - SIMPLE ASSAULT
1,SEX OFFENDER REGISTRANT OUT OF COMPLIANCE
2,VANDALISM - MISDEAMEANOR ($399 OR UNDER)
3,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)"
4,"RAPE, FORCIBLE"
5,SHOPLIFTING - PETTY THEFT ($950 & UNDER)
6,OTHER MISCELLANEOUS CRIME
7,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD"
8,BURGLARY FROM VEHICLE
9,CRIMINAL THREATS - NO WEAPON DISPLAYED
10,ARSON
11,INTIMATE PARTNER - SIMPLE ASSAULT
12,THEFT PLAIN - PETTY ($950 & UNDER)
13,THEFT OF IDENTITY
14,ROBBERY
15,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT"
16,BURGLARY
17,BRANDISH WEAPON
18,INTIMATE PARTNER - AGGRAVATED ASSAULT
19,"BUNCO, GRAND THEFT"
20,"THEFT, PERSON"
21,BATTERY WITH SEXUAL CONTACT
22,BIKE - STOLEN
23,BATTERY POLICE (SIMPLE)
24,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD"
25,VIOLATION OF COURT ORDER
26,TRESPASSING
27,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)
28,VIOLATION OF RESTRAINING ORDER
29,DISTURBING THE PEACE
30,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
31,THEFT FROM MOTOR VEHICLE - ATTEMPT
32,THROWING OBJECT AT MOVING VEHICLE
33,EXTORTION
34,"SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ"
35,CHILD STEALING
36,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER)
37,ATTEMPTED ROBBERY
38,OTHER ASSAULT
39,BOMB SCARE
40,DOCUMENT FORGERY / STOLEN FELONY
41,SEXUAL PENETRATION W/FOREIGN OBJECT
42,SHOTS FIRED AT INHABITED DWELLING
43,"BURGLARY, ATTEMPTED"
44,INDECENT EXPOSURE
45,ORAL COPULATION
46,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)"
47,VIOLATION OF TEMPORARY RESTRAINING ORDER
48,"BUNCO, PETTY THEFT"
49,KIDNAPPING - GRAND ATTEMPT
50,SHOPLIFTING-GRAND THEFT ($950.01 & OVER)
51,RESISTING ARREST
52,DISCHARGE FIREARMS/SHOTS FIRED
53,THREATENING PHONE CALLS/LETTERS
54,KIDNAPPING
55,LEWD/LASCIVIOUS ACTS WITH CHILD
56,LEWD CONDUCT
57,UNAUTHORIZED COMPUTER ACCESS
58,PURSE SNATCHING
59,SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH
60,CHILD NEGLECT (SEE 300 W.I.C.)
61,CONTEMPT OF COURT
62,CHILD ANNOYING (17YRS & UNDER)
63,"BUNCO, ATTEMPT"
64,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT
65,PIMPING
66,STALKING
67,THEFT PLAIN - ATTEMPT
68,"RAPE, ATTEMPTED"
69,SHOPLIFTING - ATTEMPT
70,THEFT FROM PERSON - ATTEMPT
71,FALSE IMPRISONMENT
72,"BURGLARY FROM VEHICLE, ATTEMPTED"
73,FAILURE TO YIELD
74,VEHICLE - ATTEMPT STOLEN
75,"EMBEZZLEMENT, PETTY THEFT ($950 & UNDER)"
76,"DEFRAUDING INNKEEPER/THEFT OF SERVICES, $950 & UNDER"
77,COUNTERFEIT
78,"CREDIT CARDS, FRAUD USE ($950 & UNDER"
79,PICKPOCKET
80,"SHOTS FIRED AT MOVING VEHICLE, TRAIN OR AIRCRAFT"
81,CRIMINAL HOMICIDE
82,PROWLER
83,DOCUMENT WORTHLESS ($200 & UNDER)
84,"DEFRAUDING INNKEEPER/THEFT OF SERVICES, OVER $950.01"
85,ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER
86,DISHONEST EMPLOYEE - GRAND THEFT
87,HUMAN TRAFFICKING - COMMERCIAL SEX ACTS
88,CHILD PORNOGRAPHY
89,PEEPING TOM
90,VEHICLE - STOLEN
91,BATTERY ON A FIREFIGHTER
92,TILL TAP - PETTY ($950 & UNDER)
93,CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT
94,TILL TAP - GRAND THEFT ($950.01 & OVER)
95,HUMAN TRAFFICKING - INVOLUNTARY SERVITUDE
96,FIREARMS RESTRAINING ORDER (FIREARMS RO)
97,DRIVING WITHOUT OWNER CONSENT (DWOC)
98,DOCUMENT WORTHLESS ($200.01 & OVER)
